[2024-05-08T01:23:17.397+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_21.csv uploaded to pm25_raw/2024-05-04_21.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:17.463+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_19.csv uploaded to pm25_raw/2024-05-03_19.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:17.520+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_21.csv uploaded to pm25_raw/2024-05-03_21.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:17.594+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_7.csv uploaded to pm25_raw/2024-05-02_7.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:17.670+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_23.csv uploaded to pm25_raw/2024-05-03_23.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:17.733+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_2.csv uploaded to pm25_raw/2024-05-02_2.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:17.795+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-08_4.csv uploaded to pm25_raw/2024-05-08_4.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:17.851+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_4.csv uploaded to pm25_raw/2024-05-05_4.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:17.903+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_5.csv uploaded to pm25_raw/2024-05-04_5.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:17.959+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_23.csv uploaded to pm25_raw/2024-05-04_23.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:18.026+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_15.csv uploaded to pm25_raw/2024-05-03_15.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:18.105+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_10.csv uploaded to pm25_raw/2024-05-03_10.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:18.188+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_12.csv uploaded to pm25_raw/2024-05-05_12.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:18.243+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_17.csv uploaded to pm25_raw/2024-05-02_17.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:18.303+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_17.csv uploaded to pm25_raw/2024-05-04_17.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:18.354+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_3.csv uploaded to pm25_raw/2024-05-02_3.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:18.423+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_15.csv uploaded to pm25_raw/2024-05-05_15.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:18.473+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_8.csv uploaded to pm25_raw/2024-05-04_8.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:18.528+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-07_23.csv uploaded to pm25_raw/2024-05-07_23.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:18.591+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_4.csv uploaded to pm25_raw/2024-05-03_4.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:18.641+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_22.csv uploaded to pm25_raw/2024-05-02_22.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:18.698+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_5.csv uploaded to pm25_raw/2024-05-03_5.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:18.766+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-07_22.csv uploaded to pm25_raw/2024-05-07_22.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:18.826+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_0.csv uploaded to pm25_raw/2024-05-05_0.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:18.881+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_9.csv uploaded to pm25_raw/2024-05-02_9.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:18.945+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_23.csv uploaded to pm25_raw/2024-05-02_23.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.004+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_20.csv uploaded to pm25_raw/2024-05-04_20.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.057+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_11.csv uploaded to pm25_raw/2024-05-05_11.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.119+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-07_18.csv uploaded to pm25_raw/2024-05-07_18.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.207+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-07_20.csv uploaded to pm25_raw/2024-05-07_20.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.263+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_0.csv uploaded to pm25_raw/2024-05-04_0.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.316+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_14.csv uploaded to pm25_raw/2024-05-04_14.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.368+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_6.csv uploaded to pm25_raw/2024-05-03_6.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.431+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_20.csv uploaded to pm25_raw/2024-05-03_20.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.519+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_12.csv uploaded to pm25_raw/2024-05-03_12.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.573+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_16.csv uploaded to pm25_raw/2024-05-03_16.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.634+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-07_19.csv uploaded to pm25_raw/2024-05-07_19.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.699+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_14.csv uploaded to pm25_raw/2024-05-02_14.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.763+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_12.csv uploaded to pm25_raw/2024-05-02_12.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.837+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_17.csv uploaded to pm25_raw/2024-05-03_17.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.912+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_16.csv uploaded to pm25_raw/2024-05-02_16.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:19.982+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-07_14.csv uploaded to pm25_raw/2024-05-07_14.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.048+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_6.csv uploaded to pm25_raw/2024-05-02_6.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.108+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_16.csv uploaded to pm25_raw/2024-05-05_16.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.172+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_11.csv uploaded to pm25_raw/2024-05-03_11.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.236+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-08_2.csv uploaded to pm25_raw/2024-05-08_2.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.293+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_7.csv uploaded to pm25_raw/2024-05-03_7.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.351+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_8.csv uploaded to pm25_raw/2024-05-02_8.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.403+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_2.csv uploaded to pm25_raw/2024-05-03_2.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.465+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_6.csv uploaded to pm25_raw/2024-05-05_6.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.524+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_9.csv uploaded to pm25_raw/2024-05-03_9.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.586+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-07_9.csv uploaded to pm25_raw/2024-05-07_9.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.644+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_5.csv uploaded to pm25_raw/2024-05-02_5.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.702+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_3.csv uploaded to pm25_raw/2024-05-04_3.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.786+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_4.csv uploaded to pm25_raw/2024-05-02_4.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.839+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_18.csv uploaded to pm25_raw/2024-05-03_18.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.893+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-07_16.csv uploaded to pm25_raw/2024-05-07_16.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:20.946+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-07_15.csv uploaded to pm25_raw/2024-05-07_15.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:21.004+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-07_10.csv uploaded to pm25_raw/2024-05-07_10.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:21.067+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_14.csv uploaded to pm25_raw/2024-05-05_14.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:21.132+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_11.csv uploaded to pm25_raw/2024-05-02_11.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:21.189+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_16.csv uploaded to pm25_raw/2024-05-04_16.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:21.243+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_4.csv uploaded to pm25_raw/2024-05-04_4.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:21.315+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_1.csv uploaded to pm25_raw/2024-05-02_1.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:21.372+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-02_0.csv uploaded to pm25_raw/2024-05-02_0.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:21.433+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_7.csv uploaded to pm25_raw/2024-05-04_7.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:21.486+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-01_23.csv uploaded to pm25_raw/2024-05-01_23.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:21.542+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-04_1.csv uploaded to pm25_raw/2024-05-04_1.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:21.613+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-03_0.csv uploaded to pm25_raw/2024-05-03_0.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:21.665+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-08_6.csv uploaded to pm25_raw/2024-05-08_6.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:21.732+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_9.csv uploaded to pm25_raw/2024-05-05_9.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:21.789+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-05_7.csv uploaded to pm25_raw/2024-05-05_7.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:21.841+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-08_1.csv uploaded to pm25_raw/2024-05-08_1.csv in dw-projec-swu-ds525 bucket
[2024-05-08T01:23:21.903+0000] {gcs.py:557} INFO - File /opt/***/dags/data/2024-05-08_3.csv uploaded to pm25_raw/2024-05-08_3.csv in dw-projec-swu-ds525 bucket
