[2024-05-05T07:49:55.451+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_13.csv uploaded to pm25_cleaned/2024-05-02_13.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:55.519+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_18.csv uploaded to pm25_cleaned/2024-05-04_18.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:55.570+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_21.csv uploaded to pm25_cleaned/2024-05-04_21.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:55.618+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_19.csv uploaded to pm25_cleaned/2024-05-03_19.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:55.676+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_21.csv uploaded to pm25_cleaned/2024-05-03_21.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:55.737+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_7.csv uploaded to pm25_cleaned/2024-05-02_7.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:55.790+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_23.csv uploaded to pm25_cleaned/2024-05-03_23.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:55.848+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_2.csv uploaded to pm25_cleaned/2024-05-02_2.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:55.896+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_4.csv uploaded to pm25_cleaned/2024-05-05_4.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:55.957+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_5.csv uploaded to pm25_cleaned/2024-05-04_5.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:56.011+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_23.csv uploaded to pm25_cleaned/2024-05-04_23.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:56.059+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_15.csv uploaded to pm25_cleaned/2024-05-03_15.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:56.115+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_10.csv uploaded to pm25_cleaned/2024-05-03_10.csv in dw-projec-swu-ds525 bucket
